state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
Kentucky,21060,"Elizabethtown, KY",3317,842,0.058
Oklahoma,21120,"Elk City, OK",91,97,0.012
Indiana,21140,"Elkhart-Goshen, IN",577,357,0.006
West Virginia,21180,"Elkins, WV",131,137,0.013
Nevada,21220,"Elko, NV",462,440,0.017
Washington,21260,"Ellensburg, WA",216,192,0.011
New York,21300,"Elmira, NY",622,318,0.017
Texas,21340,"El Paso, TX",15862,2334,0.042
Kansas,21380,"Emporia, KS",175,163,0.01
Oklahoma,21420,"Enid, OK",674,363,0.025
Alabama,21460,"Enterprise, AL",1812,525,0.082
Pennsylvania,21500,"Erie, PA",1400,464,0.012
Michigan,21540,"Escanaba, MI",202,123,0.014
New Mexico,21580,"Española, NM",2614,760,0.161
Alabama,21640,"Eufaula, AL-GA",222,169,0.024
Georgia,21640,"Eufaula, AL-GA",222,169,0.024
Oregon,21660,"Eugene-Springfield, OR",2421,687,0.014
California,21700,"Eureka-Arcata, CA",1614,736,0.028
Wyoming,21740,"Evanston, WY-UT",0,144,0
Indiana,21780,"Evansville, IN",1256,479,0.01
Kentucky,21780,"Evansville, IN",1256,479,0.01
Alaska,21820,"Fairbanks-College, AK",1373,472,0.035
West Virginia,21900,"Fairmont, WV",799,382,0.031
Nevada,21980,"Fallon, NV",901,608,0.085
Minnesota,22020,"Fargo, ND-MN",2378,771,0.017
North Dakota,22020,"Fargo, ND-MN",2378,771,0.017
Minnesota,22060,"Faribault-Northfield, MN",381,248,0.011
Missouri,22100,"Farmington, MO",386,238,0.014
New Mexico,22140,"Farmington, NM",1459,462,0.03
North Carolina,22180,"Fayetteville, NC",9588,1192,0.066
NA,22190,"Fayetteville, TN",358,303,0.023
Arkansas,22220,"Fayetteville-Springdale-Rogers, AR",2615,768,0.009
Minnesota,22260,"Fergus Falls, MN",209,101,0.007
Ohio,22300,"Findlay, OH",160,161,0.004
Arizona,22380,"Flagstaff, AZ",2611,947,0.038
Michigan,22420,"Flint, MI",1591,607,0.009
South Carolina,22500,"Florence, SC",864,535,0.01
Alabama,22520,"Florence-Muscle Shoals, AL",1475,519,0.022
Wisconsin,22540,"Fond du Lac, WI",154,100,0.003
North Carolina,22580,"Forest City, NC",265,193,0.009
Arkansas,22620,"Forrest City, AR",67,89,0.01
Colorado,22660,"Fort Collins-Loveland, CO",3594,897,0.019
Iowa,22700,"Fort Dodge, IA",203,153,0.011
Missouri,22780,"Fort Leonard Wood, MO",2205,797,0.121
Illinois,22800,"Fort Madison, IA",350,297,0.023
Iowa,22800,"Fort Madison, IA",350,297,0.023
Missouri,22800,"Fort Madison, IA",350,297,0.023
Colorado,22820,"Fort Morgan, CO",77,117,0.006
Alabama,22840,"Fort Payne, AL",561,317,0.02
Arkansas,22900,"Fort Smith, AR-OK",907,381,0.009
Oklahoma,22900,"Fort Smith, AR-OK",907,381,0.009
Indiana,23060,"Fort Wayne, IN",2171,742,0.01
Indiana,23140,"Frankfort, IN",328,233,0.021
Kentucky,23180,"Frankfort, KY",497,318,0.014
Texas,23240,"Fredericksburg, TX",27,36,0.002
Illinois,23300,"Freeport, IL",130,108,0.006
Nebraska,23340,"Fremont, NE",91,123,0.005
Ohio,23380,"Fremont, OH",224,213,0.008
California,23420,"Fresno, CA",8353,1806,0.017
Alabama,23460,"Gadsden, AL",816,421,0.021
South Carolina,23500,"Gaffney, SC",236,228,0.01
Florida,23540,"Gainesville, FL",3467,1054,0.022
Georgia,23580,"Gainesville, GA",912,421,0.009
Texas,23620,"Gainesville, TX",10,19,0
Illinois,23660,"Galesburg, IL",167,147,0.008
NA,23680,"Gallipolis, OH",153,189,0.013
New Mexico,23700,"Gallup, NM",1388,428,0.064
Kansas,23780,"Garden City, KS",133,118,0.007
Nevada,23820,"Gardnerville Ranchos, NV-CA",343,276,0.015
Pennsylvania,23900,"Gettysburg, PA",932,322,0.018
Wyoming,23940,"Gillette, WY",342,322,0.015
Kentucky,23980,"Glasgow, KY",276,233,0.014
New York,24020,"Glens Falls, NY",940,452,0.016
New York,24100,"Gloversville, NY",302,206,0.012
North Carolina,24140,"Goldsboro, NC",964,524,0.02
Texas,24180,"Granbury, TX",311,252,0.011
Minnesota,24220,"Grand Forks, ND-MN",848,432,0.016
North Dakota,24220,"Grand Forks, ND-MN",848,432,0.016
Nebraska,24260,"Grand Island, NE",415,237,0.011
Colorado,24300,"Grand Junction, CO",1862,662,0.026
Minnesota,24330,"Grand Rapids, MN",32,26,0.002
Michigan,24340,"Grand Rapids-Wyoming-Kentwood, MI",4781,1203,0.008
Oregon,24420,"Grants Pass, OR",378,202,0.012
Kansas,24460,"Great Bend, KS",114,167,0.011
Montana,24500,"Great Falls, MT",1345,437,0.036
Colorado,24540,"Greeley, CO",2122,684,0.012
Wisconsin,24580,"Green Bay, WI",1951,654,0.012
NA,24600,"Greencastle, IN",521,421,0.033
Tennessee,24620,"Greeneville, TN",469,364,0.015
NA,24640,"Greenfield, MA",570,325,0.016
North Carolina,24660,"Greensboro-High Point, NC",5573,1486,0.015
Indiana,24700,"Greensburg, IN",0,143,0
Mississippi,24740,"Greenville, MS",357,308,0.027
North Carolina,24780,"Greenville, NC",707,504,0.009
Ohio,24820,"Greenville, OH",285,180,0.013
South Carolina,24860,"Greenville-Anderson-Greer, SC",5369,1310,0.012
Mississippi,24900,"Greenwood, MS",396,341,0.027
South Carolina,24940,"Greenwood, SC",244,185,0.006
Mississippi,24980,"Grenada, MS",327,331,0.025
Puerto Rico,25020,"Guayama, PR",0,172,0
Mississippi,25060,"Gulfport-Biloxi, MS",9147,1431,0.051
Maryland,25180,"Hagerstown-Martinsburg, MD-WV",6393,1322,0.046
West Virginia,25180,"Hagerstown-Martinsburg, MD-WV",6393,1322,0.046
Idaho,25200,"Hailey, ID",228,237,0.014
Louisiana,25220,"Hammond, LA",1090,635,0.018
California,25260,"Hanford-Corcoran, CA",869,460,0.017
Missouri,25300,"Hannibal, MO",227,233,0.013
Pennsylvania,25420,"Harrisburg-Carlisle, PA",7219,1335,0.024
Arkansas,25460,"Harrison, AR",358,244,0.018
Virginia,25500,"Harrisonburg, VA",608,366,0.009
Connecticut,25540,"Hartford-West Hartford-East Hartford, CT",6490,1361,0.011
Nebraska,25580,"Hastings, NE",119,95,0.006
Mississippi,25620,"Hattiesburg, MS",1480,470,0.021
Kansas,25700,"Hays, KS",64,89,0.004
Utah,25720,"Heber, UT",528,257,0.013
Montana,25740,"Helena, MT",1891,637,0.043
NA,25770,"Hemlock Farms, PA",516,347,0.02
NA,25775,"Henderson, KY",129,98,0.005
North Carolina,25780,"Henderson, NC",388,309,0.022
Oregon,25840,"Hermiston-Pendleton, OR",857,460,0.022
NA,25850,"Hermitage, PA",813,438,0.017
North Carolina,25860,"Hickory-Lenoir-Morganton, NC",2064,845,0.012
Michigan,25880,"Hillsdale, MI",158,96,0.008
Hawaii,25900,"Hilo-Kailua, HI",1218,517,0.015
South Carolina,25940,"Hilton Head Island-Bluffton-Port Royal, SC",1968,851,0.021
Georgia,25980,"Hinesville, GA",1669,608,0.055
New Mexico,26020,"Hobbs, NM",484,350,0.015
Michigan,26090,"Holland, MI",569,359,0.01
Florida,26140,"Homosassa Springs, FL",597,348,0.011
Oregon,26220,"Hood River, OR",32,51,0.003
Arkansas,26300,"Hot Springs, AR",486,355,0.012
Michigan,26340,"Houghton, MI",163,166,0.009
Louisiana,26380,"Houma-Bayou Cane-Thibodaux, LA",853,473,0.01
Texas,26420,"Houston-Pasadena-The Woodlands, TX",41345,3709,0.012
New York,26460,"Hudson, NY",375,364,0.014
Pennsylvania,26500,"Huntingdon, PA",297,207,0.018
Indiana,26540,"Huntington, IN",132,117,0.007
Kentucky,26580,"Huntington-Ashland, WV-KY-OH",3788,880,0.025
Ohio,26580,"Huntington-Ashland, WV-KY-OH",3788,880,0.025
West Virginia,26580,"Huntington-Ashland, WV-KY-OH",3788,880,0.025
Alabama,26620,"Huntsville, AL",17046,1999,0.067
Texas,26660,"Huntsville, TX",425,440,0.014
South Dakota,26700,"Huron, SD",261,151,0.027
Kansas,26740,"Hutchinson, KS",69,68,0.002
Minnesota,26780,"Hutchinson, MN",123,112,0.007
Idaho,26820,"Idaho Falls, ID",3568,871,0.047
Pennsylvania,26860,"Indiana, PA",272,198,0.008
Indiana,26900,"Indianapolis-Carmel-Greenwood, IN",19936,2404,0.019
Iowa,26980,"Iowa City, IA",1273,463,0.013
Michigan,27020,"Iron Mountain, MI-WI",724,288,0.054
Wisconsin,27020,"Iron Mountain, MI-WI",724,288,0.054
New York,27060,"Ithaca, NY",350,305,0.007
Michigan,27100,"Jackson, MI",492,207,0.007
Mississippi,27140,"Jackson, MS",4959,1103,0.018
Tennessee,27180,"Jackson, TN",919,445,0.012
Idaho,27220,"Jackson, WY-ID",543,492,0.028
Wyoming,27220,"Jackson, WY-ID",543,492,0.028
Florida,27260,"Jacksonville, FL",22789,3720,0.029
Illinois,27300,"Jacksonville, IL",123,119,0.008
North Carolina,27340,"Jacksonville, NC",5980,1397,0.083
Texas,27380,"Jacksonville, TX",129,145,0.006
North Dakota,27420,"Jamestown, ND",193,178,0.019
New York,27460,"Jamestown-Dunkirk, NY",473,244,0.009
Wisconsin,27500,"Janesville-Beloit, WI",684,335,0.009
Indiana,27540,"Jasper, IN",260,271,0.012
Georgia,27600,"Jefferson, GA",475,370,0.011
Missouri,27620,"Jefferson City, MO",1091,475,0.016
Georgia,27700,"Jesup, GA",194,151,0.016
Tennessee,27740,"Johnson City, TN",2496,748,0.027
Pennsylvania,27780,"Johnstown, PA",1130,405,0.02
Arkansas,27860,"Jonesboro, AR",582,315,0.01
Missouri,27900,"Joplin, MO-KS",857,345,0.009
Alaska,27940,"Juneau, AK",444,267,0.026
Hawaii,27980,"Kahului-Wailuku, HI",945,410,0.012
Michigan,28020,"Kalamazoo-Portage, MI",1193,486,0.009
Montana,28060,"Kalispell, MT",1417,519,0.025
Illinois,28100,"Kankakee, IL",328,259,0.007
Kansas,28140,"Kansas City, MO-KS",27162,2632,0.024
Missouri,28140,"Kansas City, MO-KS",27162,2632,0.024
Hawaii,28180,"Kapaa, HI",624,365,0.017
Nebraska,28260,"Kearney, NE",462,258,0.015
New Hampshire,28300,"Keene, NH",396,313,0.01
Indiana,28340,"Kendallville, IN",305,223,0.014
Missouri,28380,"Kennett, MO",148,132,0.014
Washington,28420,"Kennewick-Richland, WA",3821,947,0.028
NA,28450,"Kenosha, WI",2065,877,0.024
Texas,28500,"Kerrville, TX",101,106,0.004
Florida,28580,"Key West-Key Largo, FL",808,466,0.021
North Carolina,28620,"Kill Devil Hills, NC",377,270,0.021
Texas,28660,"Killeen-Temple, TX",10571,1757,0.054
NA,28680,"Kingsland, GA",1685,515,0.08
Tennessee,28700,"Kingsport-Bristol, TN-VA",1468,575,0.011
Virginia,28700,"Kingsport-Bristol, TN-VA",1468,575,0.011
New York,28740,"Kingston, NY",670,335,0.008
Texas,28780,"Kingsville, TX",554,414,0.038
North Carolina,28820,"Kinston, NC",440,364,0.021
Missouri,28860,"Kirksville, MO",317,220,0.025
NA,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",5532,1101,0.017
Oregon,28900,"Klamath Falls, OR",932,460,0.037
Tennessee,28940,"Knoxville, TN",10750,1537,0.024
Indiana,29020,"Kokomo, IN",370,292,0.01
New Hampshire,29060,"Laconia, NH",641,457,0.02
Minnesota,29100,"La Crosse-Onalaska, WI-MN",1362,479,0.016
Wisconsin,29100,"La Crosse-Onalaska, WI-MN",1362,479,0.016
Louisiana,29180,"Lafayette, LA",2000,668,0.011
Indiana,29200,"Lafayette-West Lafayette, IN",988,379,0.009
Oregon,29260,"La Grande, OR",79,104,0.007
Alabama,29300,"LaGrange, GA-AL",562,393,0.013
Georgia,29300,"LaGrange, GA-AL",562,393,0.013
Louisiana,29340,"Lake Charles, LA",680,533,0.007
Florida,29380,"Lake City, FL",1247,663,0.043
Arizona,29420,"Lake Havasu City-Kingman, AZ",1532,631,0.021
Florida,29460,"Lakeland-Winter Haven, FL",3094,984,0.009
NA,29470,"Lake of the Woods, VA",682,348,0.041
Pennsylvania,29540,"Lancaster, PA",2488,788,0.009
Michigan,29620,"Lansing-East Lansing, MI",2402,545,0.01
Wyoming,29660,"Laramie, WY",319,276,0.015
Texas,29700,"Laredo, TX",2373,738,0.021
NA,29720,"Lares, PR",58,94,0.006
New Mexico,29740,"Las Cruces, NM",4697,1127,0.049
New Mexico,29780,"Las Vegas, NM",337,247,0.025
Nevada,29820,"Las Vegas-Henderson-North Las Vegas, NV",19605,1966,0.018
Mississippi,29860,"Laurel, MS",209,217,0.006
North Carolina,29900,"Laurinburg, NC",119,105,0.01
