state_name,metro,geo_name,federal_workers,margin_of_error,share_of_employment
Oregon,18300,"Coos Bay-North Bend, OR",496,301,0.018562874251497007
NA,18340,"Corbin, KY",1987,1024,0.03443614495416024
Mississippi,18420,"Corinth, MS",200,204,0.01327844907714779
Georgia,18460,"Cornelia, GA",32,41,0.0014267243301083418
New York,18500,"Corning, NY",469,184,0.011258882273862108
Texas,18580,"Corpus Christi, TX",7486,1829,0.03569010727056019
Texas,18620,"Corsicana, TX",364,339,0.01344364012409514
New York,18660,"Cortland, NY",555,333,0.025910364145658265
Oregon,18700,"Corvallis, OR",1407,688,0.028512949377862442
Ohio,18740,"Coshocton, OH",60,79,0.0038938282821727563
Indiana,18820,"Crawfordsville, IN",56,84,0.0029168185843012656
California,18860,"Crescent City, CA",416,298,0.03569283569283569
Florida,18880,"Crestview-Fort Walton Beach-Destin, FL",8465,1609,0.06324385305610138
Tennessee,18900,"Crossville, TN",361,313,0.014057632398753895
Alabama,18980,"Cullman, AL",1530,551,0.036777078025094945
Maryland,19060,"Cumberland, MD-WV",2068,879,0.053876615256356813
West Virginia,19060,"Cumberland, MD-WV",2068,879,0.053876615256356813
Texas,19100,"Dallas-Fort Worth-Arlington, TX",83811,5928,0.019775121726089636
Georgia,19140,"Dalton, GA",879,449,0.01239145144919364
Illinois,19180,"Danville, IL",1046,437,0.037401222869810846
Kentucky,19220,"Danville, KY",415,321,0.01777225814740268
Virginia,19260,"Danville, VA",1128,509,0.026837972876516774
Alabama,19300,"Daphne-Fairhope-Foley, AL",2138,1082,0.018497049815721627
Illinois,19340,"Davenport-Moline-Rock Island, IA-IL",8185,1599,0.04345748493456158
Iowa,19340,"Davenport-Moline-Rock Island, IA-IL",8185,1599,0.04345748493456158
Ohio,19430,"Dayton-Kettering-Beavercreek, OH",22525,2799,0.05741823159493955
Alabama,19460,"Decatur, AL",1799,757,0.02399178491411501
Illinois,19500,"Decatur, IL",275,231,0.006152538201669016
Indiana,19540,"Decatur, IN",239,214,0.015009734346542737
Ohio,19580,"Defiance, OH",185,287,0.009994057587380476
Texas,19620,"Del Rio, TX",3154,1139,0.16261084759744276
Florida,19660,"Deltona-Daytona Beach-Ormond Beach, FL",3355,1242,0.010499632278154192
Colorado,19740,"Denver-Aurora-Centennial, CO",42072,4392,0.024652077689904846
Louisiana,19760,"DeRidder, LA",737,283,0.05293019247342717
Iowa,19780,"Des Moines-West Des Moines, IA",7647,1407,0.019167767470190576
NA,19810,"Detroit Lakes, MN",390,156,0.024408561772437103
Michigan,19820,"Detroit-Warren-Dearborn, MI",37107,3298,0.017596346720157058
North Dakota,19860,"Dickinson, ND",555,531,0.028062901350053092
Illinois,19940,"Dixon, IL",535,459,0.03505668042723282
Kansas,19980,"Dodge City, KS",790,609,0.04721773952543183
Alabama,20020,"Dothan, AL",2060,614,0.030237644399430476
Georgia,20060,"Douglas, GA",361,273,0.02030828082808281
Delaware,20100,"Dover, DE",3276,1043,0.03561643835616438
Georgia,20140,"Dublin, GA",1871,885,0.07171879791475008
Pennsylvania,20180,"DuBois, PA",701,397,0.019901768730658943
Iowa,20220,"Dubuque, IA",755,502,0.014536282947303568
Minnesota,20260,"Duluth, MN-WI",2675,598,0.01858348674841085
Wisconsin,20260,"Duluth, MN-WI",2675,598,0.01858348674841085
Texas,20300,"Dumas, TX",274,351,0.023531432497423566
Oklahoma,20340,"Duncan, OK",586,303,0.03162780656303972
Colorado,20420,"Durango, CO",824,538,0.026694311260852664
Oklahoma,20460,"Durant, OK",1488,451,0.07004990113925243
North Carolina,20500,"Durham-Chapel Hill, NC",7950,2083,0.024512373352737676
Tennessee,20540,"Dyersburg, TN",587,590,0.036493627603357164
Texas,20580,"Eagle Pass, TX",1653,817,0.07763479241029494
Maryland,20660,"Easton, MD",494,333,0.02666666666666667
Pennsylvania,20700,"East Stroudsburg, PA",1771,634,0.0229223023258824
Wisconsin,20740,"Eau Claire, WI",770,468,0.008393742846241892
Colorado,20780,"Edwards, CO",338,367,0.010358883202059518
Illinois,20820,"Effingham, IL",201,168,0.009313748204439089
Texas,20900,"El Campo, TX",113,109,0.00622041175822966
California,20940,"El Centro, CA",3052,1378,0.04705592130621811
Arkansas,20980,"El Dorado, AR",137,126,0.008820499613700747
North Carolina,21020,"Elizabeth City, NC",1596,681,0.08723694998633506
Kentucky,21060,"Elizabethtown, KY",4835,1228,0.0807299928202902
Oklahoma,21120,"Elk City, OK",133,142,0.017103909465020575
Indiana,21140,"Elkhart-Goshen, IN",841,521,0.008379665610490026
West Virginia,21180,"Elkins, WV",191,199,0.01880106309676149
Nevada,21220,"Elko, NV",673,642,0.02349778289864181
Washington,21260,"Ellensburg, WA",315,280,0.015513420339817778
New York,21300,"Elmira, NY",907,463,0.02417312971402681
Texas,21340,"El Paso, TX",23123,3403,0.05935731961515161
Kansas,21380,"Emporia, KS",255,237,0.013345195729537367
Oklahoma,21420,"Enid, OK",983,529,0.03437062937062937
Alabama,21460,"Enterprise, AL",2641,766,0.11450249295469325
Pennsylvania,21500,"Erie, PA",2041,676,0.016516419311505656
Michigan,21540,"Escanaba, MI",295,179,0.0197867060165001
New Mexico,21580,"Española, NM",3810,1108,0.22577777777777777
Alabama,21640,"Eufaula, AL-GA",323,247,0.03297264189465088
Georgia,21640,"Eufaula, AL-GA",323,247,0.03297264189465088
Oregon,21660,"Eugene-Springfield, OR",3530,1001,0.019323512828513405
California,21700,"Eureka-Arcata, CA",2353,1073,0.03926705939288754
Wyoming,21740,"Evanston, WY-UT",0,210,0
Indiana,21780,"Evansville, IN",1831,699,0.013823875819164678
Kentucky,21780,"Evansville, IN",1831,699,0.013823875819164678
Alaska,21820,"Fairbanks-College, AK",2001,688,0.04870272112154992
West Virginia,21900,"Fairmont, WV",1165,557,0.043973879892801875
Nevada,21980,"Fallon, NV",1313,887,0.11961373781543226
Minnesota,22020,"Fargo, ND-MN",3466,1124,0.023315887900762847
North Dakota,22020,"Fargo, ND-MN",3466,1124,0.023315887900762847
Minnesota,22060,"Faribault-Northfield, MN",556,362,0.015886168176233607
Missouri,22100,"Farmington, MO",563,347,0.019487712011076498
New Mexico,22140,"Farmington, NM",2127,673,0.042632085304257196
North Carolina,22180,"Fayetteville, NC",13977,1738,0.09191826856680631
NA,22190,"Fayetteville, TN",522,442,0.03258223581549217
Arkansas,22220,"Fayetteville-Springdale-Rogers, AR",3812,1120,0.012691436942335864
Minnesota,22260,"Fergus Falls, MN",305,147,0.010504925260039953
Ohio,22300,"Findlay, OH",233,235,0.005942513198500345
Arizona,22380,"Flagstaff, AZ",3806,1380,0.05324119407995971
Michigan,22420,"Flint, MI",2319,885,0.012892788044566015
South Carolina,22500,"Florence, SC",1260,780,0.01469747693312648
Alabama,22520,"Florence-Muscle Shoals, AL",2150,757,0.030895687536823348
Wisconsin,22540,"Fond du Lac, WI",224,146,0.0041689931137167315
North Carolina,22580,"Forest City, NC",386,281,0.012722478576137113
Arkansas,22620,"Forrest City, AR",98,130,0.013668061366806136
Colorado,22660,"Fort Collins-Loveland, CO",5239,1308,0.026329411646455154
Iowa,22700,"Fort Dodge, IA",296,223,0.01596289705009977
Missouri,22780,"Fort Leonard Wood, MO",3214,1162,0.1690066782352632
Illinois,22800,"Fort Madison, IA",510,433,0.03249235474006116
Iowa,22800,"Fort Madison, IA",510,433,0.03249235474006116
Missouri,22800,"Fort Madison, IA",510,433,0.03249235474006116
Colorado,22820,"Fort Morgan, CO",112,171,0.008301830850196427
Alabama,22840,"Fort Payne, AL",818,462,0.02777211923677599
Arkansas,22900,"Fort Smith, AR-OK",1322,555,0.012876079905718265
Oklahoma,22900,"Fort Smith, AR-OK",1322,555,0.012876079905718265
Indiana,23060,"Fort Wayne, IN",3165,1081,0.013885172040133193
Indiana,23140,"Frankfort, IN",478,339,0.029687597043661883
Kentucky,23180,"Frankfort, KY",725,463,0.019682367313696214
Texas,23240,"Fredericksburg, TX",40,53,0.0030197795560924054
Illinois,23300,"Freeport, IL",189,158,0.009024064171122994
Nebraska,23340,"Fremont, NE",133,179,0.006655657308712405
Ohio,23380,"Fremont, OH",326,311,0.011180081621454783
California,23420,"Fresno, CA",12177,2633,0.024269493623204005
Alabama,23460,"Gadsden, AL",1190,614,0.02888559846590771
South Carolina,23500,"Gaffney, SC",344,332,0.01409200770144607
Florida,23540,"Gainesville, FL",5054,1536,0.030295219541435638
Georgia,23580,"Gainesville, GA",1330,614,0.012705994745641271
Texas,23620,"Gainesville, TX",15,27,6.883575788169427e-4
Illinois,23660,"Galesburg, IL",244,215,0.010897235496404806
NA,23680,"Gallipolis, OH",223,275,0.017793026410276868
New Mexico,23700,"Gallup, NM",2023,624,0.08941831683168316
Kansas,23780,"Garden City, KS",194,172,0.010271071579839051
Nevada,23820,"Gardnerville Ranchos, NV-CA",500,402,0.021397697607737406
Pennsylvania,23900,"Gettysburg, PA",1358,470,0.02467296511627907
Wyoming,23940,"Gillette, WY",499,470,0.021061072890727218
Kentucky,23980,"Glasgow, KY",402,340,0.01899092970521542
New York,24020,"Glens Falls, NY",1371,659,0.022498646142737583
New York,24100,"Gloversville, NY",440,300,0.017280653522896865
North Carolina,24140,"Goldsboro, NC",1405,764,0.028508237967697428
Texas,24180,"Granbury, TX",453,368,0.014831063383970665
Minnesota,24220,"Grand Forks, ND-MN",1236,630,0.02193239286664892
North Dakota,24220,"Grand Forks, ND-MN",1236,630,0.02193239286664892
Nebraska,24260,"Grand Island, NE",605,346,0.015620562340244249
Colorado,24300,"Grand Junction, CO",2715,965,0.03644686677764055
Minnesota,24330,"Grand Rapids, MN",46,38,0.0021943424128225923
Michigan,24340,"Grand Rapids-Wyoming-Kentwood, MI",6970,1754,0.011510216349131118
Oregon,24420,"Grants Pass, OR",551,294,0.016757397889358597
Kansas,24460,"Great Bend, KS",166,244,0.014721532458318552
Montana,24500,"Great Falls, MT",1961,637,0.050153452685422
Colorado,24540,"Greeley, CO",3093,997,0.01649485635662594
Wisconsin,24580,"Green Bay, WI",2844,953,0.01627020904129338
NA,24600,"Greencastle, IN",759,614,0.0458222651533446
Tennessee,24620,"Greeneville, TN",684,531,0.021628458498023716
NA,24640,"Greenfield, MA",831,474,0.022985008574431597
North Carolina,24660,"Greensboro-High Point, NC",8125,2166,0.021123483333896628
Indiana,24700,"Greensburg, IN",0,208,0
Mississippi,24740,"Greenville, MS",520,449,0.03810640480726953
North Carolina,24780,"Greenville, NC",1031,734,0.012539985647737086
Ohio,24820,"Greenville, OH",415,262,0.017579531494895582
South Carolina,24860,"Greenville-Anderson-Greer, SC",7827,1909,0.01620500249482918
Mississippi,24900,"Greenwood, MS",578,497,0.03827307641372004
South Carolina,24940,"Greenwood, SC",356,270,0.008226648796043814
Mississippi,24980,"Grenada, MS",476,482,0.03568483394557313
Puerto Rico,25020,"Guayama, PR",0,251,0
Mississippi,25060,"Gulfport-Biloxi, MS",13335,2086,0.07099618265744541
Maryland,25180,"Hagerstown-Martinsburg, MD-WV",9319,1927,0.06380647855885957
West Virginia,25180,"Hagerstown-Martinsburg, MD-WV",9319,1927,0.06380647855885957
Idaho,25200,"Hailey, ID",333,346,0.019117056088179575
Louisiana,25220,"Hammond, LA",1589,925,0.025909439253860328
California,25260,"Hanford-Corcoran, CA",1267,671,0.023624396337938877
Missouri,25300,"Hannibal, MO",331,339,0.018534072456464528
Pennsylvania,25420,"Harrisburg-Carlisle, PA",10524,1946,0.034150314602147534
Arkansas,25460,"Harrison, AR",522,356,0.025413826679649466
Virginia,25500,"Harrisonburg, VA",887,533,0.013153016889837922
Connecticut,25540,"Hartford-West Hartford-East Hartford, CT",9461,1984,0.01567574195087682
Nebraska,25580,"Hastings, NE",173,139,0.008010371810899662
Mississippi,25620,"Hattiesburg, MS",2157,685,0.02921180931744312
Kansas,25700,"Hays, KS",94,130,0.005504157395479564
Utah,25720,"Heber, UT",770,375,0.018251635536171422
Montana,25740,"Helena, MT",2756,929,0.0607851786501985
NA,25770,"Hemlock Farms, PA",752,506,0.028374146323057767
NA,25775,"Henderson, KY",188,143,0.0073057941165041
North Carolina,25780,"Henderson, NC",566,451,0.030898569712850748
Oregon,25840,"Hermiston-Pendleton, OR",1250,671,0.030430654624242277
